"Source:","E:/Projects/GitHub/FSAE-Dash-Warning-Panel/Dash_Warning_Panel.sch"
"Date:","10/12/2018 3:14:34 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","E:/Utilities/KiCAD/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uF","device:C","Capacitors_SMD:C_1206",""
"","","C2","4.7uF","device:C","Capacitors_SMD:C_1206",""
"","","C3","4.7uF","device:C","Capacitors_SMD:C_1206",""
"","","C4","4.7uF","device:C","Capacitors_SMD:C_1206",""
"","","C5","1uF","device:C","Capacitors_SMD:C_1206",""
"","","C6","1uF","device:C","Capacitors_SMD:C_1206",""
"","","C7","4.7uF","device:C","Capacitors_SMD:C_1206",""
"","","D1","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D2","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D3","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D4","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D5","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D6","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D7","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D8","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"","","D9","LED","device:LED_ALT","LEDs:LED_0805",""
"","","J1","Conn_01x06_Male","conn:Conn_01x06_Male","Connectors_TE-Connectivity:TE_84953-6_1x06_P1.0mm_Horizontal",""
"","","R1","68k","device:R","Resistors_SMD:R_1206",""
"","","R2","68k","device:R","Resistors_SMD:R_1206",""
"","","R3","68k","device:R","Resistors_SMD:R_1206",""
"","","R4","86.6","device:R","Resistors_SMD:R_0805",""
"","","R5","86.6","device:R","Resistors_SMD:R_0805",""
"","","R6","68k","device:R","Resistors_SMD:R_1206",""
"","","SW1","SW_DIP_x02","switches:SW_DIP_x02","Apem:2.54mm_DIP_Switch_2_Position","https://www.mouser.com/datasheet/2/26/NDI_DM_DIPS-276092.pdf"
"","","U1","BD2808MUV","ROHM:BD2808MUV","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","https://www.mouser.com/datasheet/2/348/bd2808muv-m-e-1266220.pdf"
"","","U3","TPS22810-Q1","TI-addition:TPS22810-Q1","TO_SOT_Packages_SMD:SOT-23-6","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fds%2Fsymlink%2Ftps22810-q1.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C5, C6","1uF","device:C","Capacitors_SMD:C_1206",""
"2","4","C2, C3, C4, C7","4.7uF","device:C","Capacitors_SMD:C_1206",""
"3","8","D1, D2, D3, D4, D5, D6, D7, D8","LED_RGB_Wurth","WurthElektronik:LED_RGB_Wurth","Wurth:LED_RGB_3528",""
"4","1","D9","LED","device:LED_ALT","LEDs:LED_0805",""
"5","1","J1","Conn_01x06_Male","conn:Conn_01x06_Male","Connectors_TE-Connectivity:TE_84953-6_1x06_P1.0mm_Horizontal",""
"6","4","R1, R2, R3, R6","68k","device:R","Resistors_SMD:R_1206",""
"7","2","R4, R5","86.6","device:R","Resistors_SMD:R_0805",""
"8","1","SW1","SW_DIP_x02","switches:SW_DIP_x02","Apem:2.54mm_DIP_Switch_2_Position","https://www.mouser.com/datasheet/2/26/NDI_DM_DIPS-276092.pdf"
"9","1","U1","BD2808MUV","ROHM:BD2808MUV","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","https://www.mouser.com/datasheet/2/348/bd2808muv-m-e-1266220.pdf"
"10","1","U3","TPS22810-Q1","TI-addition:TPS22810-Q1","TO_SOT_Packages_SMD:SOT-23-6","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fds%2Fsymlink%2Ftps22810-q1.pdf"
